25642114,89540413,3729,8974,46,18,21,6
92398825,114015837,4563,7367,50,17,27,6
123478804,101803404,6514,6977,51,17,28,5
120164251,99326348,6082,6866,43,15,22,6
150790337,139494477,5329,6356,57,17,33,6
40375698,82913749,2432,5823,37,14,18,6
49156670,30595699,3423,5630,30,8,18,6
37434033,23010896,2690,5630,41,14,21,4
32344594,40669453,4556,5568,42,9,27,7
5145557,13389423,566,5561,46,10,33,6
37625921,74382697,2641,5238,55,16,32,5
33396090,39177389,6118,5232,56,22,29,4
26143514,53348481,3866,5099,29,10,15,6
24080924,60712905,4365,4749,34,15,14,6
46134869,36253477,2457,4681,40,3,33,5
33845391,46197916,2625,4604,22,6,13,6
102312187,54276810,5190,4405,39,6,28,5
58699919,66039604,3713,4359,57,7,44,5
15793400,15559272,2168,4347,39,12,23,3
27350951,47943335,2166,3969,33,15,14,5
50140466,100769364,4238,3906,25,6,15,6
21374676,15109891,1080,3857,41,6,30,3
2930225,25805666,702,3838,74,46,22,1
2862216,25715014,339,3801,44,12,28,2
12161968,30961421,1097,3669,50,17,29,4
5526196,13258212,454,3647,55,12,39,5
20420406,11775733,1784,3622,77,9,62,4
33603857,13632502,2101,3546,29,7,17,5
11634766,12949474,2130,3486,21,5,12,3
9136928,39677420,575,3457,62,39,19,2
59235382,13567574,4011,3375,45,4,36,5
7943310,51275868,276,3331,61,6,50,2
56064040,40763280,2724,3321,39,6,28,4
46491505,49654997,2361,3288,30,15,10,4
38404543,16870486,6992,3266,25,2,19,6
54509462,27965094,4269,3243,30,9,17,3
19081579,25879952,1214,3177,39,13,23,1
5180539,33509585,451,3174,78,28,46,6
4534312,39654025,294,3132,38,11,24,2
38710257,26390916,3946,3127,22,6,13,4
49645309,43627869,2699,3113,35,7,22,8
26520898,54171821,1648,3096,62,8,50,5
10039732,39014517,464,3096,56,17,35,4
18593587,27284786,2789,3060,32,11,16,3
5014604,37545638,342,3009,35,8,24,4
8193064,42492656,658,2974,17,6,7,5
4100163,37232604,296,2949,28,5,20,3
54045440,21493994,4345,2901,39,10,23,6
4589877,38409612,393,2866,30,7,19,1
14764798,25849870,2220,2839,44,15,25,2
44266349,36794123,2764,2835,32,2,27,6
26983608,29612814,4253,2826,32,9,18,5
58412118,40719209,2444,2815,32,11,17,4
5449063,52062047,298,2788,52,1,47,2
12321892,64625267,578,2783,53,27,21,3
6664863,38402088,481,2756,21,7,11,1
9162029,38838731,609,2704,22,10,9,3
61806900,52983622,3104,2680,24,5,15,5
8484065,38882870,541,2646,15,1,12,2
15370874,38843102,982,2640,15,1,12,3
7712263,38366310,424,2633,20,9,8,1
29175259,13021289,2615,2632,17,6,8,2
1352815,8640025,201,2615,9,0,8,3
32927619,13557808,2422,2602,24,7,14,2
28671269,12957486,2478,2601,21,6,12,2
47467083,39448989,2256,2600,73,31,37,7
38437501,30847482,1124,2593,33,10,19,7
2877312,40349278,708,2588,33,11,17,6
27719174,59538347,1641,2587,32,11,17,6
1810932,25440429,222,2577,65,9,51,2
4620485,38396496,435,2566,22,7,13,1
2736823,25600919,414,2559,36,10,23,1
10900764,42442787,686,2554,61,21,35,4
21151330,26291031,941,2542,36,9,24,4
18076955,37798074,2450,2526,92,3,83,2
33336618,52490736,2141,2520,40,6,31,3
11237642,23365631,1364,2510,91,4,82,2
50512287,39702125,1318,2503,26,6,17,4
22330984,27641578,1921,2494,71,30,38,3
4755292,37075533,233,2483,60,15,42,2
3031411,53725055,294,2479,72,13,51,4
31466272,38693737,841,2476,13,5,6,3
9693768,37627256,604,2466,38,20,14,2
20960807,17903443,1920,2462,36,5,28,1
7427991,19665844,1611,2457,39,2,34,6
8150416,35166654,514,2442,70,27,39,4
11134724,38893411,541,2423,42,9,28,1
8551349,37679534,720,2420,47,11,32,4
3668712,25808482,390,2415,51,10,37,2
50645427,39807436,2545,2411,41,9,27,7
8515739,38442234,485,2390,20,7,11,1
32804833,27243847,2763,2390,47,6,36,5
868563,12770032,117,2382,35,6,27,1
11138504,2210932,576,2379,35,2,30,3
3387983,38963386,226,2372,19,5,11,3
2568967,13073181,228,2368,40,11,25,3
50558721,47664557,2323,2355,72,33,35,4
2075750,21814212,265,2353,46,9,34,1
3020239,24855894,261,2352,71,31,35,1
12942094,29615881,1466,2338,68,14,50,2
15467930,1435371,1290,2337,37,8,25,1
3047029,74439167,270,2329,61,22,34,4
49024274,23193764,3542,2326,43,5,32,5
5634770,24321997,624,2325,39,6,28,1
14546649,29054349,3857,2310,24,3,19,6
4429701,41076648,209,2309,36,10,21,3
22441422,21015051,808,2304,24,8,14,4
10660057,38067567,614,2302,60,6,49,1
7383070,63090636,424,2291,67,17,44,3
34800567,36441008,1823,2275,44,14,24,6
12212941,47206119,774,2273,53,35,14,3
7770121,13252428,302,2269,52,8,40,2
2160904,26056968,224,2259,49,11,34,2
10662064,37130110,765,2251,45,7,34,1
2041245,9270738,520,2245,19,0,18,1
18954350,40064479,978,2236,29,2,24,2
8293003,30119264,610,2234,22,4,15,5
7631183,38959124,789,2227,20,7,9,2
2259270,12827355,326,2218,64,38,24,2
14840703,36316009,957,2216,86,31,53,1
21917244,35452104,422,2215,22,10,9,1
38425345,43474354,1049,2209,54,12,37,2
26550925,23800065,1579,2200,38,6,29,5
34600327,6632889,2295,2184,24,2,19,3
12348201,5938870,667,2177,30,9,18,3
1674748,33288269,138,2165,61,7,50,2
9657732,36664283,583,2165,14,1,12,1
4143221,8110817,366,2163,69,9,53,1
9331238,24915617,1706,2159,47,5,36,5
5616270,11368262,317,2141,65,10,50,1
14788407,39375137,901,2135,44,5,35,2
2295970,32869721,190,2134,75,9,63,2
24355504,38175916,1102,2127,53,23,26,3
25459195,24302912,1686,2127,76,25,47,4
2801223,25122918,187,2114,34,4,28,4
13840985,3056543,1136,2101,29,3,23,7
619884,6094248,110,2091,56,0,54,1
15014302,37995189,838,2078,35,6,25,2
8933826,1772511,785,2063,52,2,47,3
6094184,47742432,256,2062,34,13,18,1
35927099,27315072,2229,2043,57,17,34,7
2924245,31016418,291,2032,48,11,28,5
3763772,18519640,654,2012,63,10,47,5
15910231,46142552,865,1995,59,33,23,2
762380,33863533,86,1975,17,0,16,1
15490028,1042488,902,1972,26,7,17,1
