3174448,62736006,727,9783,64,13,32,2,6726.4
9020788,66871807,1999,8627,70,7,49,3,7438.2
5384991,31323864,639,8592,61,13,32,2,5630.91
11222204,63203359,650,8368,63,14,40,2,5681.34
8199218,63273117,851,7965,37,13,19,3,3261.92
5685720,29209344,679,7895,42,13,25,2,3601.08
22731211,29211998,1744,7558,71,17,44,4,6604.42
7484184,31311816,870,7122,37,12,20,2,2957.04
22558252,94632111,1230,6905,51,15,29,2,4148.85
6758734,31502827,1021,6778,43,12,15,1,3353.57
4225297,19186302,456,6675,79,21,33,3,5633.49
5682570,31470992,1048,6623,43,27,12,2,3298.53
9294680,35082374,1543,6525,71,37,23,2,5728.28
3928136,41273797,420,6468,34,12,18,1,2341.92
27088985,64214288,1096,6396,52,13,31,4,3895.84
5036504,64252424,1482,6327,61,18,35,3,4763.49
3723576,54072162,747,6290,53,24,22,3,3729.61
713916,18102960,401,6164,33,12,10,1,2166.45
2430946,28819007,601,6105,62,18,37,3,4157.72
4903498,869341,773,6103,55,13,33,1,3781.8
11686416,59023543,1128,6091,69,16,42,1,4981.11
208904,127273,768,5987,67,19,41,2,4525.85
37670703,62560598,1184,5986,68,14,41,1,4875.6
7992834,8386450,726,5969,72,18,46,1,4820.4
36980955,1780203,1421,5918,34,0,27,1,2495.26
6907350,31632146,655,5891,40,11,24,3,2618.4
622559,31663385,374,5824,74,11,38,1,4586.52
4843311,28779759,537,5796,100,100,100,2,6333
1340006,4737201,447,5753,60,14,40,1,3720
1735685,33853291,462,5746,57,23,24,4,3538.56
40229020,13502347,1271,5735,44,12,26,3,3082.64
7054930,23651025,793,5655,59,15,36,2,3804.32
2955439,6751561,709,5637,61,13,39,4,3871.06
15097629,31371422,626,5576,71,13,50,1,4403.42
563,72915,1602,5564,73,17,41,4,5231.18
13252368,62255200,1577,5552,24,11,9,2,1710.96
1773029,2870160,550,5530,69,20,37,3,4195.2
759289,2148848,525,5447,39,8,26,1,2329.08
7366944,0,4000,775,38,1,31,1,1814.5
2839065,50153319,1175,5442,68,17,40,7,4499.56
11400679,8495101,838,5317,75,17,41,2,4616.25
3573176,31108768,492,5303,59,12,41,1,3419.05
42246252,30567729,2634,5297,42,9,20,3,3331.02
4508016,1817031,549,5267,75,10,34,1,4362
5268704,1397405,896,5219,66,16,38,1,4035.9
30843164,20642529,1195,5215,78,17,40,3,4999.8
27704869,48052005,2560,5177,75,15,47,2,5802.75
48110004,31403260,1848,5129,42,13,24,2,2930.34
14619213,4450448,1837,5120,81,8,57,5,5635.17
2247836,40907649,403,5107,74,15,47,2,4077.4
4053684,31358959,1047,5049,51,13,31,2,3108.96
11031215,24827933,1596,5021,71,14,48,1,4698.07
1522290,23589755,480,5004,70,14,35,1,3838.8
7071206,30242179,689,5001,69,14,36,5,3926.1
2788703,60943533,594,4981,69,12,43,2,3846.75
5602961,58708441,998,4952,75,10,54,3,4462.5
7816,167609,682,4938,50,15,29,1,2810
2988346,15195443,506,4933,73,16,39,1,3970.47
7414174,61442736,557,4888,71,17,38,5,3865.95
4471781,30934732,463,4793,56,12,39,1,2943.36
150516,855644,448,4759,57,28,23,2,2967.99
3392607,819683,786,4751,72,13,46,2,3986.64
26726233,68108848,1216,4730,83,13,54,2,4935.18
17358585,2005081,954,4706,31,12,15,3,1754.6
1528963,29253932,434,4694,54,11,29,4,2769.12
3710633,22223797,543,4585,68,19,38,3,3487.04
12561901,49062198,692,4571,77,17,42,4,4052.51
4221012,24163022,515,4561,82,11,52,2,4162.32
5416473,24225998,839,4520,73,15,48,8,3912.07
10750296,29540162,925,4518,59,13,39,4,3211.37
6608487,32853275,1682,4486,76,11,50,3,4687.68
13440304,26608230,1549,4459,53,4,42,2,3184.24
2871952,1099637,1108,4442,35,0,32,1,1942.5
2731943,64867831,355,4417,79,9,55,4,3769.88
7138933,51452909,643,4312,48,12,31,3,2378.4
16563677,91930408,2158,4307,51,2,46,3,3297.15
54504401,12905991,3748,4231,80,14,55,4,6383.2
4584239,61317485,1172,4231,73,16,44,4,3944.19
6753763,25830710,488,4216,56,8,40,3,2634.24
10293854,31360574,4738,4202,85,11,59,4,7599
27162094,60807435,2858,4143,74,15,46,4,5180.74
26315664,56085447,2920,4129,75,12,50,3,5286.75
931761,31350551,190,4117,59,8,44,2,2541.13
10817445,20151482,1198,4098,79,6,56,1,4183.84
3407105,28372315,358,4076,78,12,53,3,3458.52
6544083,6727165,1634,4075,100,100,100,4,5709
14154238,50887975,1496,4027,72,10,50,2,3976.56
