41056938,61858369,4860,12153,69,21,39,3
10469379,45202816,1723,10023,73,31,29,3
13116365,40240461,1484,9026,55,16,21,3
35391388,51327849,4256,8782,72,20,38,5
11820630,61514525,1750,8420,69,15,42,2
4746202,63108777,849,8417,44,13,25,3
5658537,31331027,1151,8323,49,17,27,2
8709071,63305858,961,8244,47,15,26,3
8828406,32550428,2082,8221,71,19,43,3
84282043,32314737,6224,8163,72,15,41,2
2275231,59908531,951,8060,33,12,16,2
5563841,29732079,1235,7917,81,9,67,2
6490042,63072239,1665,7664,36,13,18,1
7567876,31764001,949,7482,58,14,35,2
2882358,81589479,729,7194,48,14,27,2
2131062,31275573,552,7176,73,12,55,1
4674475,63307000,540,7049,45,16,23,1
1942043,23487492,550,6953,63,6,45,1
8380693,40959453,689,6875,65,16,36,6
13753628,5633903,5991,6840,84,6,59,2
20063,91080,545,6827,31,0,29,1
4040261,22660874,1027,6785,65,12,40,2
270367,925132,595,6536,63,21,35,1
5659856,391827,1666,6413,54,0,47,1
27410508,60854166,2345,6408,71,21,43,4
8035056,31217414,1668,6329,69,14,46,1
22234268,22731734,3557,6306,75,12,49,4
1875771,31271885,548,6266,52,14,33,2
3464407,28989265,553,6263,75,13,49,2
939774,52606995,300,6240,29,11,15,2
6490280,31242127,725,6207,45,12,26,1
3761561,62968577,473,6125,60,13,41,2
7889802,46083681,1834,6081,51,13,32,2
2005322,47307393,518,6046,58,12,37,1
4636160,62688809,703,6021,32,11,17,1
8399948,28872392,2175,6007,67,13,42,1
20005819,1850517,1378,5970,69,17,42,4
1029631,6046362,711,5942,38,4,31,1
3112415,48936472,669,5903,62,9,43,3
6871042,31434956,621,5902,51,14,31,1
2507848,31236678,635,5898,51,14,31,1
11160357,31168719,1190,5830,70,14,46,2
4067623,31139746,1285,5720,38,12,22,1
2287790,31259790,534,5718,49,12,30,1
4691994,3247823,1364,5510,66,4,50,2
2556531,37649686,840,5496,68,22,36,6
9148010,25438267,2451,5435,71,15,45,4
30478912,30288845,5057,5406,68,14,43,1
292080,165872,213,5384,23,0,21,1
3737197,33879237,294,5341,75,13,54,2
