集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度,
CT_zj_580b9906741,8002991158,普陀沈家门邮政银行, 其他,普陀沈家门邮政银行,浙江,舟山市,普陀县,普陀分公司,122.28688,29.94437,工程局,183.152.192.2-183.152.207.254,光纤,B,工程局SY,乐谋勋,15305808705,0,否,,,1118,1042,3000,ZS-DH-NZ-1.domain,以太网,全覆盖,3,2012-05-28,,CT_zj_5809906725,华三AC普陀78(主),,正常热点,普陀沈家门邮政银行,,,
CT_zj_580b9906801,8002991159,普陀东港建设银行欧尚分理处, 其他,普陀东港海印路680号,浙江,舟山市,普陀县,普陀分公司,122.315696,29.968916,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局SY,乐谋勋,15305808705,0,否,,,1119,1042,3000,ZS-DH-NZ-1.domain,以太网,普陀建设银行东港新区欧尚分理处营业大厅,1,2012-05-30,,CT_zj_5809906743,华三AC普陀78(主),,正常热点,普陀东港建设银行欧尚分理处,,,
CT_zj_580a0606062,800106681,定海环城南路流星宾馆, 宾馆酒店,定海环城南路流星宾馆3F,浙江,舟山市,定海县,定海分公司,122.10342,30.01121,金州,183.152.192.2-183.152.207.254,光纤,C,工程局,顾磊,15305809609,0,否,,,104,1041,3024,ZS-DH-NZ-1.domain,以太网,3F,2,2012-03-29,,CT_zj_5800610058,华三AC定海76(主),,正常热点,定海环城南路流星宾馆,,,
CT_zj_580b0806527,8002081120,普陀蚂蚁岛蚂蚁大道海滨休闲会所边平屋室外, 休闲娱乐吧,普陀蚂蚁乡蚂蚁大道海滨休闲会所边平屋顶,浙江,舟山市,普陀县,普陀分公司,122.26294,29.86575,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,乐谋勋,15305808705,0,否,,,1084,1042,3027,ZS-DH-NZ-1.domain,以太网,普陀蚂蚁岛蚂蚁大道海滨休闲会所边平屋室外,2,2012-05-11,,CT_zj_5800806425,华三AC普陀78(主),,正常热点,普陀蚂蚁岛蚂蚁大道海滨休闲会所边平屋室外,,,
CT_zj_580b0706988,8002071186,普陀普陀山香华街2号信息指挥中心室外, 休闲度假区,普陀普陀山香华街2号信息指挥中心,浙江,舟山市,普陀县,普陀分公司,122.381215,29.986264,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局SY,乐谋勋,15305808705,0,否,,,717,1002,3000,ZS-DH-NZ-1.domain,以太网,普济寺景区,2,2012-06-13,,CT_zj_5800706929,贝尔ac47（虚）,,正常热点,普陀普陀山香华街2号信息指挥中心室外,,,
CT_zj_580b1207203,8002121237,普陀虾峙镇政府, 政府机关等事业单位,普陀虾峙镇政府会议室-1,浙江,舟山市,普陀县,普陀分公司,122.239567,29.753892,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局SY,乐谋勋,15305808705,0,否,,,1146,1042,3000,ZS-DH-NZ-1.domain,以太网,会议室,5,2012-07-05,,CT_zj_5801207082,华三AC普陀78(主),,正常热点,普陀虾峙镇政府,,,
CT_zj_580b9907561,8002991292,普陀沈家门滨港路616号八闽饭店室室外, 其他,普陀沈家门,浙江,舟山市,普陀县,普陀分公司,122.31538,29.94468,工程局,183.152.192.2-183.152.207.254,光纤,A,工程局SY,乐谋勋,15305808705,0,否,,,750,1002,3024,ZS-DH-NZ-1.domain,以太网,夜排档,3,2012-09-10,室外型,CT_zj_5809907544,贝尔ac47（虚）,,正常热点,普陀沈家门滨港路616号八闽饭店室室外,,,
CT_zj_580d0708064,800307301,岱山岱东后沙洋海坛智能, 休闲度假区,岱山岱东后沙洋海坛,浙江,舟山市,岱山县,岱山分公司,122.216141,30.321049,金州,183.152.192.2-183.152.207.254,光纤,C,京信,方华,13567681976,0,否,E1301180008-6,,3205,910,3024,ZS-DH-NZ-1.domain,以太网,海坛,1,2013-06-13,,CT_zj_5800707844,,,,岱山岱东后沙洋海坛,,,
CT_zj_580d9900261,800314006,岱山高亭海鲜夜排档, 其他,岱山海鲜夜排档,浙江,舟山市,岱山县,岱山分公司,122.19727,30.24352,金州,183.152.192.2-183.152.207.254,光纤,B,工程局FZ,魏幸淑,15305807947,0,否,,,1002,1023,3024,ZS-DH-NZ-1.domain,以太网,海鲜夜排档沿街道路,1,2010-01-07,,CT_zj_5809930020,网件AC6（虚）,,正常热点,岱山高亭海鲜夜排档,,,
CT_zj_580c1600014,80045005,嵊泗菜园电信新办公大楼网件, 电信自有,嵊泗电信大楼,浙江,舟山市,嵊泗县,嵊泗分公司,122.45337,30.73083,金州,183.152.192.2-183.152.207.254,光纤,A,工程局FZ,阮卫其,13395801152,0,是,,,1528,1024,3026,ZS-DH-NZ-1.domain,以太网,2F 3F办公区,5,2010-03-30,,CT_zj_5801640005,网件AC22（虚）,,正常热点,嵊泗菜园电信新办公大楼网件,,,
