#集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度
CT_zj_5809901859,800116273,定海环城西路42号对面解放路派出所公话亭, 其他,定海环城西路解放路派出所前电话亭,浙江,舟山市,定海县,定海分公司,122.09762,30.01851,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,25,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910032,华三AC定海76(主),,正常热点,定海环城西路42号对面解放路派出所公话亭,,
CT_zj_5809901860,800116274,定海昌国路242号电信檀树机房前公话亭, 其他,定海昌国路242号前电话亭（檀树机房旁）,浙江,舟山市,定海县,定海分公司,122.11021,30.02359,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,67,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910017,华三AC定海76(主),,正常热点,定海昌国路242号电信檀树机房前公话亭,,
CT_zj_5809901861,800116275,定海腾坑湾路42号对面金岛花园公话亭, 其他,定海腾坑湾路金岛花园前电话亭,浙江,舟山市,定海县,定海分公司,122.09564,30.02302,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,46,1041,3026,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,,CT_zj_5809910029,华三AC定海76(主),,正常热点,定海腾坑湾路42号对面金岛花园公话亭,,
CT_zj_5809901863,800116277,定海东河北路12幢公话亭, 其他,定海东河路12幢电话亭,浙江,舟山市,定海县,定海分公司,122.1148,30.02041,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,56,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910021,华三AC定海76(主),,正常热点,定海东河北路12幢公话亭,,
CT_zj_5801201946,800112299,定海临城国土资源局, 政府机关等事业单位,定海临城国土资源局,浙江,舟山市,定海县,定海分公司,122.19966,29.99271,金州,183.152.192.2-183.152.207.254,光纤,C,国人,顾磊,15305809609,0,是,,,99,1041,3026,ZS-DH-NZ-1.domain,以太网,全覆盖,14,2011/3/19,,CT_zj_5801210029,华三AC定海76(主),,正常热点,定海临城国土资源局,,
CT_zj_5809902617,800199351,定海环城南路94号前公话亭, 其他,定海环城南路94号,浙江,舟山市,定海县,定海分公司,122.09186,30.01318,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,32,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910069,华三AC定海76(主),,正常热点,定海环城南路94号前公话亭,,
CT_zj_5809902619,800199352,定海环城南路351号公话亭, 其他,定海环城南路351号门口,浙江,舟山市,定海县,定海分公司,122.11012,30.01204,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,60,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910071,华三AC定海76(主),,正常热点,定海环城南路351号公话亭,,
CT_zj_5809902620,800199353,定海昌国路234号市总工会门口公话亭, 其他,定海昌国路234号市总工会门口公话亭12,浙江,舟山市,定海县,定海分公司,122.109,30.02333,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,68,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910072,华三AC定海76(主),,正常热点,定海昌国路234号市总工会门口公话亭,,
CT_zj_5809902621,800199354,定海昌国路222号卫检门口公话亭, 其他,定海昌国路222号卫检门口公话亭43,浙江,舟山市,定海县,定海分公司,122.10821,30.02318,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,71,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910073,华三AC定海76(主),,正常热点,定海昌国路222号卫检门口公话亭,,
CT_zj_5809902642,800299436,普陀沈家门兴建路703号PHS, 其他,普陀沈家门兴建路703号屋顶小灵通基站,浙江,舟山市,普陀县,普陀分公司,122.27854,29.94424,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,乐谋勋,15305808705,0,否,,,1160,1042,3034,ZS-DH-NZ-1.domain,以太网,沈家门兴建路703号附近街道及商铺,2,2011/7/4,,CT_zj_5809920148,华三AC普陀78(主),,正常热点,普陀沈家门兴建路703号PHS,,
CT_zj_5809902555,800199342,定海东河中路A6幢公话亭, 其他,定海东河路南段A6幢电话亭,浙江,舟山市,定海县,定海分公司,122.1137,30.01545,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,18,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路,2,2011/6/22,,CT_zj_5809910062,华三AC定海76(主),,正常热点,定海东河中路A6幢公话亭,,
CT_zj_5809902556,800199343,定海东河中路东港浦新村63幢公话亭, 其他,定海东河路南段东港浦新村63幢电话亭,浙江,舟山市,定海县,定海分公司,122.11291,30.01249,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,贝经理,15958087193,0,否,,,17,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路,2,2011/6/22,,CT_zj_5809910063,华三AC定海76(主),,正常热点,定海东河中路东港浦新村63幢公话亭,,
CT_zj_5809902557,800199344,定海东河中路世纪新茂门口公话亭, 其他,定海东河路南段世纪新茂门口电话亭,浙江,舟山市,定海县,定海分公司,122.11451,30.01809,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,19,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路,3,2011/6/22,,CT_zj_5809910064,华三AC定海76(主),,正常热点,定海东河中路世纪新茂门口公话亭,,
CT_zj_5809902558,800199345,定海环城南路158-20号公话亭, 其他,定海环城南路158-20号前电话亭,浙江,舟山市,定海县,定海分公司,122.09595,30.01228,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,33,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/6/22,,CT_zj_5809910065,华三AC定海76(主),,正常热点,定海环城南路158-20号公话亭,,
CT_zj_5809902559,800199346,定海环城南路474号公话亭, 其他,定海环城南路474号前电话亭,浙江,舟山市,定海县,定海分公司,122.11166,30.01189,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,30,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/6/22,,CT_zj_5809910066,华三AC定海76(主),,正常热点,定海环城南路474号公话亭,,
CT_zj_5809902740,800199366,定海昌国路194号商干校门口公话亭, 其他,定海昌国路194号商干校门口,浙江,舟山市,定海县,定海分公司,122.10628,30.02278,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,62,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/19,,CT_zj_5809910078,华三AC定海76(主),,正常热点,定海昌国路194号商干校门口公话亭,,
CT_zj_5809902741,800199367,定海环城北路79号北门菜场公话亭, 其他,定海环城北路北门菜场,浙江,舟山市,定海县,定海分公司,122.10062,30.02791,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,49,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/19,,CT_zj_5809910079,华三AC定海76(主),,正常热点,定海环城北路79号北门菜场公话亭,,
CT_zj_5809902742,800199368,定海竹山公园门口南侧公话亭, 其他,定海竹山公园门口南侧,浙江,舟山市,定海县,定海分公司,122.08394,30.01319,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,45,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/19,,CT_zj_5809910080,华三AC定海76(主),,正常热点,定海竹山公园门口南侧公话亭,,
CT_zj_5809902825,800199376,定海环城南路424号市教委对面公话亭, 其他,定海环城南路424号门口,浙江,舟山市,定海县,定海分公司,122.11043,30.01182,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,59,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/8/3,,CT_zj_5809910083,华三AC定海76(主),,正常热点,定海环城南路424号市教委对面公话亭,,
CT_zj_5800602970,800206569,普陀普陀山雷迪森山庄, 宾馆酒店,普陀普陀山雷迪森山庄,浙江,舟山市,普陀县,普陀分公司,122.38768,30.0025,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局SY,乐谋勋,15305808705,0,是,,,1002,1042,3031,ZS-DH-NZ-1.domain,以太网,全覆盖,11,2011/8/18,,CT_zj_5800620076,华三AC普陀78(主),,正常热点,普陀普陀山雷迪森山庄,,
CT_zj_5809903242,800199427,定海人民南路93号公话亭, 其他,定海人民南路93号前电话亭,浙江,舟山市,定海县,定海分公司,122.10412,30.01617,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,51,1041,3000,ZS-DH-NZ-1.domain,以太网,公话亭附近道路,3,2011/9/19,,CT_zj_5809910103,华三AC定海76(主),,正常热点,定海人民南路93号公话亭,,
CT_zj_5809903243,800199428,定海舟山中学大门对面公话亭, 其他,定海舟山中学对面电话亭,浙江,舟山市,定海县,定海分公司,122.09831,30.02073,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,63,1041,3000,ZS-DH-NZ-1.domain,以太网,公话亭附近道路,3,2011/9/19,,CT_zj_5809910104,华三AC定海76(主),,正常热点,定海舟山中学大门对面公话亭,,
CT_zj_5809903919,800299827,普陀浦西新晨路荣威汽车4S店, 其他,普陀浦西荣威汽车4S店,浙江,舟山市,普陀县,普陀分公司,122.25575,29.98489,工程局,183.152.192.2-183.152.207.254,光纤,A,工程局SY,乐谋勋,15305808705,0,是,,,1090,1042,3000,ZS-DH-NZ-1.domain,以太网,荣威汽车4S店办公区域和车间,3,2011/11/8,,CT_zj_5809920439,华三AC普陀78(主),,正常热点,普陀浦西新晨路荣威汽车4S店,,
CT_zj_5800603633,800206738,普陀沈家门中元大酒店, 宾馆酒店,普陀浦湾二区,浙江,舟山市,普陀县,普陀分公司,122.27971,29.94798,工程局,183.152.192.2-183.152.207.254,光纤,B,国人,乐谋勋,15305808705,0,是,,,1009,1042,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,11,2011/10/19,,CT_zj_5800620097,华三AC普陀78(主),,正常热点,普陀沈家门中元大酒店,,
CT_zj_5801204433,800212884,普陀东港国土资源局, 政府机关等事业单位,东港B-05地块,浙江,舟山市,普陀县,普陀分公司,122.31063,29.97458,工程局,183.152.192.2-183.152.207.254,光纤,B,工程局,乐谋勋,15305808705,0,是,,,1089,1042,3024,ZS-DH-NZ-1.domain,以太网,国土资源局,19,2011/11/29,,CT_zj_5801220025,华三AC普陀78(主),,正常热点,普陀东港国土资源局,,
CT_zj_5801104324,800211874,普陀浦西永祥大厦, 商务楼,普陀浦西,浙江,舟山市,普陀县,普陀分公司,122.25372,29.97484,工程局,183.152.192.2-183.152.207.254,光纤,B,工程局,乐谋勋,15305808705,0,是,,,1091,1042,3025,ZS-DH-NZ-1.domain,以太网,永祥大厦,13,2011/11/26,,CT_zj_5809920060,华三AC普陀78(主),,正常热点,普陀浦西永祥大厦,,
CT_zj_5809904167,800199500,定海解放东路218号邮政局门口公话亭, 其他,定海解放西路103号公话亭,浙江,舟山市,定海县,定海分公司,122.11272,30.01838,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,20,1041,3000,ZS-DH-NZ-1.domain,以太网,附近区域,3,2011/11/22,,CT_zj_5809910114,华三AC定海76(主),,正常热点,定海解放东路218号邮政局门口公话亭,,
CT_zj_5809905023,800199574,定海环城南路208-6号公话亭, 其他,定海环城南路208-6号电话亭,浙江,舟山市,定海县,定海分公司,122.10025,30.01206,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,40,1041,3000,ZS-DH-NZ-1.domain,以太网,电话亭附近道路与商铺,3,2011/12/19,,CT_zj_5809910180,华三AC定海76(主),,正常热点,定海环城南路208-6号公话亭,,
CT_zj_5809904821,800199544,定海昌国路152号老干部局门口公话亭, 其他,定海昌国路152号老干部局门口电话亭,浙江,舟山市,定海县,定海分公司,122.10323,30.02206,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,16,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路与商铺,3,2011/12/12,,CT_zj_5809910150,华三AC定海76(主),,正常热点,定海昌国路152号老干部局门口公话亭,,
CT_zj_5809904822,800199545,定海舟山中学大门西侧公话亭, 其他,定海舟山中学大门西侧电话亭,浙江,舟山市,定海县,定海分公司,122.09767,30.02055,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,69,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路与商铺,3,2011/12/12,,CT_zj_5809910151,华三AC定海76(主),,正常热点,定海舟山中学大门西侧公话亭,,
CT_zj_5809904823,800199546,定海昌国路6号公话亭, 其他,定海昌国路6号电话亭,浙江,舟山市,定海县,定海分公司,122.09752,30.02041,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,61,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路与商铺,3,2011/12/12,,CT_zj_5809910152,华三AC定海76(主),,正常热点,定海昌国路6号公话亭,,
CT_zj_5809904824,800199547,定海昌国路70号公话亭, 其他,定海昌国路70号电话亭,浙江,舟山市,定海县,定海分公司,122.10015,30.0212,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,70,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路与商铺,3,2011/12/12,,CT_zj_5809910153,华三AC定海76(主),,正常热点,定海昌国路70号公话亭,,
CT_zj_5809904825,800199548,定海昌国路98号祖印寺门口公话亭, 其他,定海昌国路98号祖印寺门口电话亭,浙江,舟山市,定海县,定海分公司,122.10069,30.02133,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,64,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路与商铺,3,2011/12/12,,CT_zj_5809910154,华三AC定海76(主),,正常热点,定海昌国路98号祖印寺门口公话亭,,
CT_zj_5809904826,800199549,定海昌国路124号区府对面公话亭, 其他,定海昌国路124号电话亭,浙江,舟山市,定海县,定海分公司,122.10171,30.02157,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,72,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路与商铺,3,2011/12/12,,CT_zj_5809910155,华三AC定海76(主),,正常热点,定海昌国路124号区府对面公话亭,,
CT_zj_5809904828,800199551,定海环城南路18-3号公话亭, 其他,定海环城南路18-3号电话亭,浙江,舟山市,定海县,定海分公司,122.08547,30.01321,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,41,1041,3000,ZS-DH-NZ-1.domain,以太网,电话亭附近道路与商铺,3,2011/12/12,,CT_zj_5809910157,华三AC定海76(主),,正常热点,定海环城南路18-3号公话亭,,
CT_zj_5809905042,800199579,定海环城南路168号公话亭, 其他,定海环城南路168号电话亭,浙江,舟山市,定海县,定海分公司,122.09693,30.01209,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,42,1041,3000,ZS-DH-NZ-1.domain,以太网,电话亭附近道路与商铺,3,2011/12/19,,CT_zj_5809910179,华三AC定海76(主),,正常热点,定海环城南路168号公话亭,,
CT_zj_5801304281,800113508,定海413医院体检中心, 医院,定海四一三医院,浙江,舟山市,定海县,定海分公司,122.10596,30.0379,金州,183.152.192.2-183.152.207.254,光纤,C,国人,顾磊,15305809609,0,是,,,175,1041,3000,ZS-DH-NZ-1.domain,以太网,四一三医院,4,2011/11/26,,CT_zj_5801310009,华三AC定海76(主),定海四一三医院,正常热点,定海413医院体检中心,,
CT_zj_5800605621,800106649,定海临城财富君廷大酒店主楼, 宾馆酒店,定海临城财富君廷大酒店主楼,浙江,舟山市,定海县,定海分公司,122.20231,29.9917,金州,183.152.192.2-183.152.207.254,光纤,C,依网,机房管理员,13967232982,0,是,,,55,1041,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,55,2012/2/8,,CT_zj_5800610054,华三AC定海76(主),定海临城财富君廷大酒店,正常热点,定海临城财富君廷大酒店主楼,,
CT_zj_5809904621,800199528,定海人民南路223号公话亭, 其他,定海人民南路223号公话亭,浙江,舟山市,定海县,定海分公司,122.10382,30.01363,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,53,1041,3000,ZS-DH-NZ-1.domain,以太网,附近区域,3,2011/12/2,,CT_zj_5809910136,华三AC定海76(主),,正常热点,定海人民南路223号公话亭,,
CT_zj_5809904622,800199529,定海环城南路352号公话亭, 其他,定海环城南路352号公话亭,浙江,舟山市,定海县,定海分公司,122.10699,30.01181,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,39,1041,3000,ZS-DH-NZ-1.domain,以太网,附近区域,3,2011/12/2,,CT_zj_5809910137,华三AC定海76(主),,正常热点,定海环城南路352号公话亭,,
CT_zj_5809904862,800199554,定海环城南路54号公话亭, 其他,定海环城南路54号电话亭,浙江,舟山市,定海县,定海分公司,122.08836,30.01319,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,31,1041,3000,ZS-DH-NZ-1.domain,以太网,电话亭附近道路与商铺,3,2011/12/14,,CT_zj_5809910160,华三AC定海76(主),,正常热点,定海环城南路54号公话亭,,
CT_zj_5801604661,800116532,定海东河北路11号公话亭, 电信自有,定海东河路11号电话亭,浙江,舟山市,定海县,定海分公司,122.11463,30.01897,金州,183.152.192.2-183.152.207.254,光纤,B,工程局SY,顾磊,15305809609,0,否,,,21,1041,3000,ZS-DH-NZ-1.domain,以太网,东河路11号电话亭附近道路与商铺,3,2011/12/6,,CT_zj_5801620102,华三AC定海76(主),,正常热点,定海东河北路11号公话亭,,
CT_zj_5809905542,800199642,定海甬东弘生集团食堂, 其他,定海弘生大道111号,浙江,舟山市,定海县,定海分公司,122.131566,29.998965,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,13,1041,3000,ZS-DH-NZ-1.domain,以太网,食堂全覆盖,2,2012/1/12,,CT_zj_5809910228,华三AC定海76(主),,正常热点,定海甬东弘生集团食堂,,
CT_zj_5809905545,800199645,定海盐仓弘生百家盐仓店, 其他,定海盐仓航标北路,浙江,舟山市,定海县,定海分公司,122.075229,30.015173,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,12,1041,3000,ZS-DH-NZ-1.domain,以太网,一楼大厅购物区,1,2012/1/12,,CT_zj_5809910231,华三AC定海76(主),,正常热点,定海盐仓弘生百家盐仓店,,
CT_zj_5809905546,800199646,定海弘生百家海山公园店, 其他,定海海山公园正对面,浙江,舟山市,定海县,定海分公司,122.098471,30.026045,金州,183.152.192.2-183.152.207.254,光纤,B,工程局SY,顾磊,15305809609,0,否,,,9,1041,3000,ZS-DH-NZ-1.domain,以太网,一楼大厅购物区,1,2012/1/12,,CT_zj_5809910232,华三AC定海76(主),,正常热点,定海弘生百家海山公园店,,
