#集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度
CT_zj_5800706157,8002071065,普陀桃花射雕城办公楼会议室对面电信杆, 休闲度假区,普陀桃花射雕城办公楼会议室对面铁杆,浙江,舟山市,普陀县,普陀分公司,122.23707,29.84173,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,乐谋勋,15305808705,0,否,,,1033,1042,3027,ZS-DH-NZ-1.domain,以太网,射雕城办公楼会议室,2,2012/4/12,,CT_zj_5800720117,华三AC普陀78(主),,正常热点,普陀桃花射雕城办公楼会议室对面电信杆,,
CT_zj_5800706158,8002071066,普陀桃花安期谷山庄, 休闲度假区,普陀桃花安期谷山庄二楼会议室,浙江,舟山市,普陀县,普陀分公司,122.29109,29.81259,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,乐谋勋,15305808705,0,否,,,1034,1042,3026,ZS-DH-NZ-1.domain,以太网,全覆盖,2,2012/4/12,,CT_zj_5800720118,华三AC普陀78(主),,正常热点,普陀桃花安期谷山庄,,
CT_zj_5800605281,800106605,定海凯尔登大酒店, 宾馆酒店,定海凯尔登大酒店,浙江,舟山市,定海县,定海分公司,122.10441,30.01569,金州,183.152.192.2-183.152.207.254,光纤,A,国人,顾磊,15305809609,0,是,,,136,1041,3024,ZS-DH-NZ-1.domain,以太网,6F,9,2011/12/28,,CT_zj_5800610051,华三AC定海76(主),,正常热点,定海凯尔登大酒店,,
CT_zj_5809905661,800199654,定海东瀛路电信二枢楼活动室顶PHS, 其他,定海东瀛路电信二枢楼活动室顶PHS,浙江,舟山市,定海县,定海分公司,122.119645,30.020225,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,75,1041,3000,ZS-DH-NZ-1.domain,以太网,周边街道及店铺,4,2012/2/15,,CT_zj_5809910239,华三AC定海76(主),,正常热点,定海东瀛路电信二枢楼活动室顶PHS,,
CT_zj_5809905821,8002991030,普陀沈家门鲁家峙路P003电信PHS, 其他,普陀沈家门鲁家峙路P003电信PHS,浙江,舟山市,普陀县,普陀分公司,122.30216,29.94414,工程局,183.152.192.2-183.152.207.254,光纤,A,方舟,乐谋勋,15305808705,0,否,,,1159,1042,3024,ZS-DH-NZ-1.domain,以太网,鲁家峙路游艇码头及银誉建设工地办公室,2,2012/3/2,,CT_zj_5809920491,华三AC普陀78(主),,正常热点,普陀沈家门鲁家峙路P003电信PHS,,
CT_zj_5809905841,800199671,定海青垒头路69号南洋汽修电信杆PHS, 其他,定海青垒头路69号,浙江,舟山市,定海县,定海分公司,122.117457,29.995082,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,91,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路及商铺,3,2012/3/5,,CT_zj_5809920493,华三AC定海76(主),,正常热点,定海青垒头路69号南洋汽修电信杆PHS,,
CT_zj_5809905843,800199673,定海舟山二中水房PHS, 其他,定海舟山二中,浙江,舟山市,定海县,定海分公司,122.124402,30.020921,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,93,1041,3000,ZS-DH-NZ-1.domain,以太网,学校舟山二中校区及办公楼,3,2012/3/5,,CT_zj_5809920495,华三AC定海76(主),定海舟山二中,正常热点,定海舟山二中水房PHS,,
CT_zj_5809905844,800199674,定海舟山二中南教学楼PHS, 其他,定海舟山二中,浙江,舟山市,定海县,定海分公司,122.124249,30.020091,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,94,1041,3000,ZS-DH-NZ-1.domain,以太网,学校舟山二中校区及办公楼,2,2012/3/5,,CT_zj_5809920496,华三AC定海76(主),定海舟山二中,正常热点,定海舟山二中南教学楼PHS,,
CT_zj_5800806001,800108679,定海中煌会所, 休闲娱乐吧,定海中煌会所,浙江,舟山市,定海县,定海分公司,122.10291,30.01977,金州,183.152.192.2-183.152.207.254,光纤,C,京信,业主,15068017797,0,是,,,101,1041,3000,ZS-DH-NZ-1.domain,以太网,全覆盖,4,2012/3/26,,CT_zj_5800800136,华三AC定海76(主),,正常热点,定海中煌会所,,
CT_zj_5800706160,8002071068,普陀桃花安期峰梦麟轩室外, 休闲度假区,普陀桃花安期峰梦麟轩前休闲区墙角,浙江,舟山市,普陀县,普陀分公司,122.285285,29.812231,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,乐谋勋,15305808705,0,否,,,1036,1042,3024,ZS-DH-NZ-1.domain,以太网,梦麟轩前休闲区,1,2012/4/12,,CT_zj_5800720120,华三AC普陀78(主),,正常热点,普陀桃花安期峰梦麟轩室外,,
CT_zj_5809905501,800199623,定海弘生百家东门店, 其他,定海东门菜场大门旁,浙江,舟山市,定海县,定海分公司,122.109658,30.015199,金州,183.152.192.2-183.152.207.254,光纤,B,工程局SY,顾磊,15305809609,0,否,,,3,1041,3000,ZS-DH-NZ-1.domain,以太网,定海弘生百家东门店,1,2012/1/6,,CT_zj_5809910212,华三AC定海76(主),,正常热点,定海弘生百家东门店,,
CT_zj_5809905524,800199625,定海册子油库综合楼, 其他,定海册子油库综合楼,浙江,舟山市,定海县,定海分公司,121.93673,30.07779,金州,183.152.192.2-183.152.207.254,光纤,D,依网,张工,15268009776,0,是,,,14,1041,3024,ZS-DH-NZ-1.domain,以太网,定海册子油库综合楼,8,2012/1/6,,CT_zj_5809910213,华三AC定海76(主),,正常热点,定海册子油库综合楼,,
