3174448	62736006	727	9783	64	13	32	2
9020788	66871807	1999	8627	70	7	49	3
5384991	31323864	639	8592	61	13	32	2
11222204	63203359	650	8368	63	14	40	2
8199218	63273117	851	7965	37	13	19	3
5685720	29209344	679	7895	42	13	25	2
22731211	29211998	1744	7558	71	17	44	4
7484184	31311816	870	7122	37	12	20	2
22558252	94632111	1230	6905	51	15	29	2
6758734	31502827	1021	6778	43	12	15	1
4225297	19186302	456	6675	79	21	33	3
5682570	31470992	1048	6623	43	27	12	2
9294680	35082374	1543	6525	71	37	23	2
3928136	41273797	420	6468	34	12	18	1
27088985	64214288	1096	6396	52	13	31	4
5036504	64252424	1482	6327	61	18	35	3
3723576	54072162	747	6290	53	24	22	3
713916	18102960	401	6164	33	12	10	1
2430946	28819007	601	6105	62	18	37	3
4903498	869341	773	6103	55	13	33	1
11686416	59023543	1128	6091	69	16	42	1
208904	127273	768	5987	67	19	41	2
37670703	62560598	1184	5986	68	14	41	1
7992834	8386450	726	5969	72	18	46	1
36980955	1780203	1421	5918	34	0	27	1
6907350	31632146	655	5891	40	11	24	3
622559	31663385	374	5824	74	11	38	1
4843311	28779759	537	5796	100	100	100	2
1340006	4737201	447	5753	60	14	40	1
1735685	33853291	462	5746	57	23	24	4
40229020	13502347	1271	5735	44	12	26	3
7054930	23651025	793	5655	59	15	36	2
2955439	6751561	709	5637	61	13	39	4
15097629	31371422	626	5576	71	13	50	1
563	72915	1602	5564	73	17	41	4
13252368	62255200	1577	5552	24	11	9	2
1773029	2870160	550	5530	69	20	37	3
759289	2148848	525	5447	39	8	26	1
7366944	0	4000	775	38	1	31	1
2839065	50153319	1175	5442	68	17	40	7
11400679	8495101	838	5317	75	17	41	2
3573176	31108768	492	5303	59	12	41	1
42246252	30567729	2634	5297	42	9	20	3
4508016	1817031	549	5267	75	10	34	1
5268704	1397405	896	5219	66	16	38	1
30843164	20642529	1195	5215	78	17	40	3
27704869	48052005	2560	5177	75	15	47	2
48110004	31403260	1848	5129	42	13	24	2
14619213	4450448	1837	5120	81	8	57	5
2247836	40907649	403	5107	74	15	47	2
4053684	31358959	1047	5049	51	13	31	2
11031215	24827933	1596	5021	71	14	48	1
1522290	23589755	480	5004	70	14	35	1
7071206	30242179	689	5001	69	14	36	5
2788703	60943533	594	4981	69	12	43	2
5602961	58708441	998	4952	75	10	54	3
7816	167609	682	4938	50	15	29	1
2988346	15195443	506	4933	73	16	39	1
7414174	61442736	557	4888	71	17	38	5
4471781	30934732	463	4793	56	12	39	1
150516	855644	448	4759	57	28	23	2
3392607	819683	786	4751	72	13	46	2
